Property,Value,Type
P6,head of government,WikibaseItem
P10,video,CommonsMedia
P14,traffic sign,CommonsMedia
P15,route map,CommonsMedia
P16,highway system,WikibaseItem
P17,country,WikibaseItem
P18,image,CommonsMedia
P19,place of birth,WikibaseItem
P20,place of death,WikibaseItem
P21,sex or gender,WikibaseItem
P22,father,WikibaseItem
P25,mother,WikibaseItem
P26,spouse,WikibaseItem
P27,country of citizenship,WikibaseItem
P30,continent,WikibaseItem
P31,instance of,WikibaseItem
P35,head of state,WikibaseItem
P36,capital,WikibaseItem
P37,official language,WikibaseItem
P38,currency,WikibaseItem
P39,position held,WikibaseItem
P40,child,WikibaseItem
P41,flag image,CommonsMedia
P47,shares border with,WikibaseItem
P50,author,WikibaseItem
P51,audio,CommonsMedia
P53,family,WikibaseItem
P54,member of sports team,WikibaseItem
P57,director,WikibaseItem
P58,screenwriter,WikibaseItem
P59,constellation,WikibaseItem
P61,discoverer or inventor,WikibaseItem
P65,site of astronomical discovery,WikibaseItem
P66,ancestral home,WikibaseItem
P69,educated at,WikibaseItem
P78,top-level Internet domain,WikibaseItem
P81,connecting line,WikibaseItem
P84,architect,WikibaseItem
P85,anthem,WikibaseItem
P86,composer,WikibaseItem
P87,librettist,WikibaseItem
P88,commissioned by,WikibaseItem
P91,sexual orientation,WikibaseItem
P92,main regulatory text,WikibaseItem
P94,coat of arms image,CommonsMedia
P97,noble title,WikibaseItem
P98,editor,WikibaseItem
P101,field of work,WikibaseItem
P102,member of political party,WikibaseItem
P103,native language,WikibaseItem
P105,taxon rank,WikibaseItem
P106,occupation,WikibaseItem
P108,employer,WikibaseItem
P109,signature,CommonsMedia
P110,illustrator,WikibaseItem
P111,measured physical quantity,WikibaseItem
P112,founded by,WikibaseItem
P113,airline hub,WikibaseItem
P114,airline alliance,WikibaseItem
P115,home venue,WikibaseItem
P117,chemical structure,CommonsMedia
P118,league,WikibaseItem
P119,place of burial,WikibaseItem
P121,item operated,WikibaseItem
P122,basic form of government,WikibaseItem
P123,publisher,WikibaseItem
P126,maintained by,WikibaseItem
P127,owned by,WikibaseItem
P128,regulates (molecular biology),WikibaseItem
P129,physically interacts with,WikibaseItem
P131,located in the administrative territorial entity,WikibaseItem
P135,movement,WikibaseItem
P136,genre,WikibaseItem
P137,operator,WikibaseItem
P138,named after,WikibaseItem
P140,religion,WikibaseItem
P141,IUCN conservation status,WikibaseItem
P143,imported from Wikimedia project,WikibaseItem
P144,based on,WikibaseItem
P149,architectural style,WikibaseItem
P150,contains administrative territorial entity,WikibaseItem
P154,logo image,CommonsMedia
P155,follows,WikibaseItem
P156,followed by,WikibaseItem
P157,killed by,WikibaseItem
P158,seal image,CommonsMedia
P159,headquarters location,WikibaseItem
P161,cast member,WikibaseItem
P162,producer,WikibaseItem
P163,flag,WikibaseItem
P166,award received,WikibaseItem
P167,structure replaced by,WikibaseItem
P169,chief executive officer,WikibaseItem
P170,creator,WikibaseItem
P171,parent taxon,WikibaseItem
P172,ethnic group,WikibaseItem
P175,performer,WikibaseItem
P176,manufacturer,WikibaseItem
P177,crosses,WikibaseItem
P178,developer,WikibaseItem
P179,part of the series,WikibaseItem
P180,depicts,WikibaseItem
P181,taxon range map image,CommonsMedia
P183,endemic to,WikibaseItem
P184,doctoral advisor,WikibaseItem
P185,doctoral student,WikibaseItem
P186,made from material,WikibaseItem
P189,location of discovery,WikibaseItem
P190,twinned administrative body,WikibaseItem
P193,main building contractor,WikibaseItem
P194,legislative body,WikibaseItem
P195,collection,WikibaseItem
P196,minor planet group,WikibaseItem
P197,adjacent station,WikibaseItem
P199,business division,WikibaseItem
P200,inflows,WikibaseItem
P201,lake outflow,WikibaseItem
P205,basin country,WikibaseItem
P206,located in or next to body of water,WikibaseItem
P207,bathymetry image,CommonsMedia
P208,executive body,WikibaseItem
P209,highest judicial authority,WikibaseItem
P210,party chief representative,WikibaseItem
P212,ISBN-13,ExternalId
P213,ISNI,ExternalId
P214,VIAF ID,ExternalId
P215,spectral class,String
P217,inventory number,String
P218,ISO 639-1 code,ExternalId
P219,ISO 639-2 code,ExternalId
P220,ISO 639-3 code,ExternalId
P221,ISO 639-6 code,ExternalId
P223,galaxy morphological type,String
P225,taxon name,String
P227,GND ID,ExternalId
P229,IATA airline designator,String
P230,ICAO airline designator,String
P231,CAS Registry Number,ExternalId
P232,EC number,ExternalId
P233,canonical SMILES,String
P234,InChI,ExternalId
P235,InChIKey,ExternalId
P236,ISSN,ExternalId
P237,coat of arms,WikibaseItem
P238,IATA airport code,String
P239,ICAO airport code,String
P240,FAA airport code,String
P241,military branch,WikibaseItem
P242,locator map image,CommonsMedia
P243,OCLC control number,ExternalId
