subject,property,value
Q16947,P31,Q3918
Q16947,P159,Q8686
Q16947,P17,Q148
Q16947,P910,Q20205211
Q16947,P3876,Q8855551
Q16947,P4195,Q9599878
Q16947,P112,Q91420
Q16947,P463,Q388314
Q16947,P138,Q188
Q16947,P1416,Q2502602
Q16947,P85,Q18866244
Q16947,P1424,Q20695389
Q16947,P361,Q11065496
Q24420,P31,Q3918
Q24420,P17,Q212
Q24420,P131,Q42308
Q29716,P910,Q8880692
Q29716,P31,Q3918
Q29716,P17,Q96
Q29716,P131,Q81033
Q29716,P3876,Q8280432
Q29716,P1830,Q849823
Q29731,P31,Q3918
Q29731,P17,Q298
Q29731,P131,Q2887
Q29731,P3876,Q18821032
Q37765,P31,Q3918
Q37765,P17,Q796
Q37765,P910,Q9993705
Q37765,P131,Q1530
Q37765,P3876,Q10024547
Q39980,P17,Q423
Q39980,P31,Q3918
Q39980,P131,Q18808
Q39980,P3876,Q32703101
Q45817,P17,Q1016
Q45817,P31,Q3918
Q45817,P131,Q162413
Q49041,P17,Q30
Q49041,P131,Q1456
Q49041,P910,Q8235837
Q49041,P31,Q3918
Q49041,P361,Q1620945
Q49041,P140,Q384121
Q49041,P2643,Q23336065
Q49041,P3876,Q8235838
Q49041,P4195,Q8235839
Q49041,P5008,Q15304953
Q49041,P355,Q101427494
Q49118,P31,Q189004
Q49118,P17,Q30
Q49118,P131,Q771
Q49118,P910,Q8307968
Q49118,P463,Q743945
Q49118,P112,Q6247716
Q49118,P159,Q990957
Q49118,P140,Q9592
Q49118,P2643,Q23334765
Q49118,P3876,Q6427872
Q49118,P1830,Q598070
Q49118,P2388,Q76428936
Q49118,P1889,Q49110
Q49212,P17,Q30
Q49212,P131,Q1439
Q49212,P31,Q62078547
Q49212,P910,Q8844730
Q49212,P2643,Q23334765
Q49212,P463,Q19861084
Q49212,P3876,Q8844737
Q49212,P159,Q695511
Q49212,P355,Q5973443
Q49212,P749,Q1781044
Q49212,P2184,Q5866813
Q49212,P4195,Q8844741
Q49212,P1830,Q945223
Q49212,P488,Q6831730
Q56653,P17,Q17
Q56653,P31,Q3918
Q56653,P131,Q17139
Q56653,P910,Q24829047
Q56828,P31,Q3918
Q56828,P17,Q212
Q56828,P131,Q41572
Q56828,P1075,Q4223651
Q56828,P3876,Q101252616
Q56828,P4195,Q32495922
Q56837,P31,Q3918
Q56837,P17,Q159
Q56837,P159,Q649
Q56837,P166,Q478850
Q56837,P2936,Q7737
Q56837,P131,Q649
Q56837,P3876,Q7693456
Q56837,P4195,Q7996368
Q56837,P276,Q649
Q56837,P910,Q9473615
Q56837,P463,Q65061603
Q56860,P31,Q3918
Q56860,P131,Q216
Q56860,P17,Q37
Q56860,P3876,Q7692773
Q85300,P910,Q6489426
Q85300,P31,Q3918
Q85300,P17,Q212
Q85300,P138,Q172254
Q85300,P155,Q1977696
Q85300,P527,Q12132630
Q85300,P166,Q478850
Q85300,P1001,Q4294532
Q85300,P3876,Q6489432
Q85300,P159,Q1874
Q85300,P4195,Q7996565
Q85300,P1075,Q20021035
Q85300,P276,Q1874
Q85300,P1365,Q76466916
Q94279,P17,Q30
Q94279,P131,Q797
Q94279,P31,Q3918
Q94279,P910,Q8882628
Q94279,P2643,Q23335494
Q94279,P749,Q2002043
Q94279,P3876,Q8882629
Q94473,P31,Q3918
Q94473,P17,Q212
Q94473,P1075,Q19609924
Q94473,P910,Q19609919
Q94473,P131,Q156743
Q94473,P3876,Q10021951
Q94473,P4195,Q27038306
Q94473,P355,Q27218628
Q127745,P31,Q3918
Q127745,P138,Q135481
Q127745,P17,Q232
Q127745,P131,Q1520
Q127745,P3876,Q32120412
Q127745,P4195,Q32120396
Q127745,P910,Q32120402
Q144488,P31,Q3918
Q144488,P17,Q36
Q144488,P910,Q7013540
Q144488,P159,Q270
Q144488,P527,Q1576755
Q144488,P3876,Q7461005
Q144488,P1075,Q11767746
Q144488,P4195,Q6375989
Q144488,P355,Q9379430
Q144488,P1416,Q868940
Q144488,P1830,Q413841
Q144488,P361,Q63171242
Q144488,P463,Q868940
Q144488,P2388,Q83497218
Q144488,P1343,Q4532138
Q156737,P31,Q875538
Q156737,P910,Q8920524
Q156737,P17,Q183
Q156737,P159,Q1707
Q156737,P112,Q505976
Q156737,P131,Q1707
Q156737,P527,Q2496307
Q156737,P3876,Q7693247
Q156737,P463,Q2514863
Q156737,P355,Q323945
Q156737,P4195,Q6597426
Q156737,P1889,Q1737734
Q156737,P276,Q1707
Q156737,P1343,Q73357989
Q156737,P106,Q1607826
Q169913,P31,Q3918
Q169913,P17,Q43
Q169913,P131,Q171810
Q169913,P159,Q171810
Q170027,P31,Q3918
Q170027,P910,Q8804361
Q170027,P17,Q145
Q170027,P131,Q84
Q170027,P3876,Q6546749
Q170027,P463,Q6269240
Q170027,P1037,Q568443
Q170027,P355,Q45132926
Q170027,P4195,Q6376369
Q170027,P159,Q84
Q170027,P1830,Q3478501
Q170027,P276,Q84
Q170027,P527,Q60792619
Q170027,P7959,Q19186
Q171249,P31,Q3918
Q171249,P138,Q271956
Q171249,P131,Q42308
Q171249,P17,Q212
Q171249,P3876,Q7694405
Q171249,P166,Q185493
Q171249,P276,Q42308
Q171249,P4195,Q56382548
Q174220,P31,Q3918
Q174220,P17,Q159
Q174220,P1075,Q4225593
Q174220,P159,Q919
Q174220,P4195,Q60905646
Q174220,P910,Q32218549
Q175777,P17,Q869
Q175777,P361,Q2128644
Q175777,P31,Q3918
Q175777,P131,Q22980189
Q188370,P17,Q30
Q188370,P31,Q3918
Q188370,P910,Q8609693
Q188370,P131,Q37836
Q188370,P463,Q7820700
Q188370,P140,Q9592
Q188370,P2643,Q23334891
Q188370,P159,Q6861655
Q188370,P1424,Q20369750
Q188370,P527,Q6772639
Q188370,P1546,Q482123
