,support,itemsets
0,0.6551967116852613,frozenset({'Freebase ID'})
1,0.6119788608338227,frozenset({'GRID ID'})
2,0.5344685848502643,frozenset({'ISNI'})
3,0.610569583088667,frozenset({'ROR ID'})
4,0.5025249559600705,frozenset({'Ringgold ID'})
5,0.6425132119788608,frozenset({'coordinate location'})
6,0.968761009982384,frozenset({'country'})
7,0.8435701702877275,frozenset({'inception'})
8,1.0,frozenset({'instance of'})
9,0.8021139166177335,frozenset({'located in the administrative territorial entity'})
10,0.7977686435701703,frozenset({'official website'})
11,0.6461538461538462,"frozenset({'Freebase ID', 'country'})"
12,0.6193775689958896,"frozenset({'inception', 'Freebase ID'})"
13,0.6551967116852613,"frozenset({'instance of', 'Freebase ID'})"
14,0.5816793893129771,"frozenset({'located in the administrative territorial entity', 'Freebase ID'})"
15,0.5816793893129771,"frozenset({'Freebase ID', 'official website'})"
16,0.6104521432765707,"frozenset({'ROR ID', 'GRID ID'})"
17,0.6116265413975338,"frozenset({'country', 'GRID ID'})"
18,0.5681738109219026,"frozenset({'inception', 'GRID ID'})"
19,0.6119788608338227,"frozenset({'instance of', 'GRID ID'})"
20,0.585554903112155,"frozenset({'located in the administrative territorial entity', 'GRID ID'})"
21,0.5780387551379917,"frozenset({'official website', 'GRID ID'})"
22,0.5336465061655902,"frozenset({'country', 'ISNI'})"
23,0.5344685848502643,"frozenset({'instance of', 'ISNI'})"
24,0.6102172636523782,"frozenset({'ROR ID', 'country'})"
25,0.5668819729888432,"frozenset({'inception', 'ROR ID'})"
26,0.610569583088667,"frozenset({'instance of', 'ROR ID'})"
27,0.5842630651790958,"frozenset({'located in the administrative territorial entity', 'ROR ID'})"
28,0.5766294773928362,"frozenset({'ROR ID', 'official website'})"
29,0.5024075161479742,"frozenset({'Ringgold ID', 'country'})"
30,0.5025249559600705,"frozenset({'instance of', 'Ringgold ID'})"
31,0.641808573106283,"frozenset({'coordinate location', 'country'})"
32,0.5803875513799178,"frozenset({'inception', 'coordinate location'})"
33,0.6425132119788608,"frozenset({'instance of', 'coordinate location'})"
34,0.5600704638872578,"frozenset({'located in the administrative territorial entity', 'coordinate location'})"
35,0.5678214914856137,"frozenset({'coordinate location', 'official website'})"
36,0.8305343511450382,"frozenset({'inception', 'country'})"
37,0.968761009982384,"frozenset({'instance of', 'country'})"
38,0.799647680563711,"frozenset({'located in the administrative territorial entity', 'country'})"
39,0.7877862595419848,"frozenset({'official website', 'country'})"
40,0.8435701702877275,"frozenset({'instance of', 'inception'})"
41,0.7266001174398121,"frozenset({'located in the administrative territorial entity', 'inception'})"
42,0.7352906635349383,"frozenset({'inception', 'official website'})"
43,0.8021139166177335,"frozenset({'instance of', 'located in the administrative territorial entity'})"
44,0.7977686435701703,"frozenset({'instance of', 'official website'})"
45,0.7013505578391075,"frozenset({'located in the administrative territorial entity', 'official website'})"
46,0.6137404580152672,"frozenset({'inception', 'Freebase ID', 'country'})"
47,0.6461538461538462,"frozenset({'instance of', 'Freebase ID', 'country'})"
48,0.5806224310041104,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'country'})"
49,0.5766294773928362,"frozenset({'Freebase ID', 'official website', 'country'})"
50,0.6193775689958896,"frozenset({'instance of', 'inception', 'Freebase ID'})"
51,0.5584263065179096,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID'})"
52,0.5624192601291838,"frozenset({'inception', 'Freebase ID', 'official website'})"
53,0.5816793893129771,"frozenset({'instance of', 'Freebase ID', 'located in the administrative territorial entity'})"
54,0.5816793893129771,"frozenset({'instance of', 'Freebase ID', 'official website'})"
55,0.5296535525543159,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'official website'})"
56,0.6100998238402818,"frozenset({'ROR ID', 'country', 'GRID ID'})"
57,0.5668819729888432,"frozenset({'inception', 'ROR ID', 'GRID ID'})"
58,0.6104521432765707,"frozenset({'instance of', 'ROR ID', 'GRID ID'})"
59,0.5841456253669994,"frozenset({'located in the administrative territorial entity', 'ROR ID', 'GRID ID'})"
60,0.5766294773928362,"frozenset({'ROR ID', 'official website', 'GRID ID'})"
61,0.5678214914856137,"frozenset({'inception', 'country', 'GRID ID'})"
62,0.6116265413975338,"frozenset({'instance of', 'country', 'GRID ID'})"
63,0.5854374633000587,"frozenset({'located in the administrative territorial entity', 'country', 'GRID ID'})"
64,0.5776864357017029,"frozenset({'official website', 'country', 'GRID ID'})"
65,0.5681738109219026,"frozenset({'instance of', 'inception', 'GRID ID'})"
66,0.5448032883147387,"frozenset({'located in the administrative territorial entity', 'inception', 'GRID ID'})"
67,0.5491485613623018,"frozenset({'inception', 'official website', 'GRID ID'})"
68,0.585554903112155,"frozenset({'instance of', 'located in the administrative territorial entity', 'GRID ID'})"
69,0.5780387551379917,"frozenset({'instance of', 'official website', 'GRID ID'})"
70,0.5529066353493834,"frozenset({'located in the administrative territorial entity', 'official website', 'GRID ID'})"
71,0.5336465061655902,"frozenset({'instance of', 'country', 'ISNI'})"
72,0.5665296535525544,"frozenset({'inception', 'ROR ID', 'country'})"
73,0.6102172636523782,"frozenset({'instance of', 'ROR ID', 'country'})"
74,0.5841456253669994,"frozenset({'located in the administrative territorial entity', 'ROR ID', 'country'})"
75,0.5762771579565472,"frozenset({'ROR ID', 'official website', 'country'})"
76,0.5668819729888432,"frozenset({'instance of', 'inception', 'ROR ID'})"
77,0.5436288901937757,"frozenset({'located in the administrative territorial entity', 'inception', 'ROR ID'})"
78,0.5479741632413389,"frozenset({'inception', 'ROR ID', 'official website'})"
79,0.5842630651790958,"frozenset({'instance of', 'located in the administrative territorial entity', 'ROR ID'})"
80,0.5766294773928362,"frozenset({'instance of', 'ROR ID', 'official website'})"
81,0.5516147974163241,"frozenset({'located in the administrative territorial entity', 'ROR ID', 'official website'})"
82,0.5024075161479742,"frozenset({'instance of', 'Ringgold ID', 'country'})"
83,0.5798003523194363,"frozenset({'inception', 'coordinate location', 'country'})"
84,0.641808573106283,"frozenset({'instance of', 'coordinate location', 'country'})"
85,0.5598355842630652,"frozenset({'located in the administrative territorial entity', 'coordinate location', 'country'})"
86,0.5674691720493247,"frozenset({'coordinate location', 'official website', 'country'})"
87,0.5803875513799178,"frozenset({'instance of', 'inception', 'coordinate location'})"
88,0.5253082795067527,"frozenset({'located in the administrative territorial entity', 'inception', 'coordinate location'})"
89,0.5412800939518497,"frozenset({'inception', 'coordinate location', 'official website'})"
90,0.5600704638872578,"frozenset({'instance of', 'coordinate location', 'located in the administrative territorial entity'})"
91,0.5678214914856137,"frozenset({'instance of', 'coordinate location', 'official website'})"
92,0.5162654139753377,"frozenset({'located in the administrative territorial entity', 'coordinate location', 'official website'})"
93,0.8305343511450382,"frozenset({'instance of', 'inception', 'country'})"
94,0.7247210804462713,"frozenset({'located in the administrative territorial entity', 'inception', 'country'})"
95,0.7290663534938344,"frozenset({'inception', 'official website', 'country'})"
96,0.799647680563711,"frozenset({'instance of', 'located in the administrative territorial entity', 'country'})"
97,0.7877862595419848,"frozenset({'instance of', 'official website', 'country'})"
98,0.7001761597181444,"frozenset({'located in the administrative territorial entity', 'official website', 'country'})"
99,0.7266001174398121,"frozenset({'instance of', 'inception', 'located in the administrative territorial entity'})"
100,0.7352906635349383,"frozenset({'instance of', 'inception', 'official website'})"
101,0.6578978273634762,"frozenset({'located in the administrative territorial entity', 'inception', 'official website'})"
102,0.7013505578391075,"frozenset({'instance of', 'located in the administrative territorial entity', 'official website'})"
103,0.6137404580152672,"frozenset({'instance of', 'inception', 'Freebase ID', 'country'})"
104,0.5574867880211392,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID', 'country'})"
105,0.5586611861421021,"frozenset({'inception', 'Freebase ID', 'official website', 'country'})"
106,0.5806224310041104,"frozenset({'instance of', 'Freebase ID', 'located in the administrative territorial entity', 'country'})"
107,0.5766294773928362,"frozenset({'instance of', 'Freebase ID', 'official website', 'country'})"
108,0.5289489136817381,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'official website', 'country'})"
109,0.5584263065179096,"frozenset({'instance of', 'inception', 'Freebase ID', 'located in the administrative territorial entity'})"
110,0.5624192601291838,"frozenset({'instance of', 'inception', 'Freebase ID', 'official website'})"
111,0.5159130945390488,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID', 'official website'})"
112,0.5296535525543159,"frozenset({'instance of', 'Freebase ID', 'official website', 'located in the administrative territorial entity'})"
113,0.5665296535525544,"frozenset({'inception', 'ROR ID', 'country', 'GRID ID'})"
114,0.6100998238402818,"frozenset({'instance of', 'ROR ID', 'country', 'GRID ID'})"
115,0.5840281855549031,"frozenset({'located in the administrative territorial entity', 'ROR ID', 'country', 'GRID ID'})"
116,0.5762771579565472,"frozenset({'ROR ID', 'official website', 'country', 'GRID ID'})"
117,0.5668819729888432,"frozenset({'instance of', 'inception', 'ROR ID', 'GRID ID'})"
118,0.5436288901937757,"frozenset({'located in the administrative territorial entity', 'inception', 'ROR ID', 'GRID ID'})"
119,0.5479741632413389,"frozenset({'inception', 'ROR ID', 'official website', 'GRID ID'})"
120,0.5841456253669994,"frozenset({'instance of', 'located in the administrative territorial entity', 'ROR ID', 'GRID ID'})"
121,0.5766294773928362,"frozenset({'instance of', 'ROR ID', 'official website', 'GRID ID'})"
122,0.5516147974163241,"frozenset({'located in the administrative territorial entity', 'ROR ID', 'official website', 'GRID ID'})"
123,0.5678214914856137,"frozenset({'instance of', 'inception', 'country', 'GRID ID'})"
124,0.5446858485026423,"frozenset({'located in the administrative territorial entity', 'inception', 'country', 'GRID ID'})"
125,0.548796241926013,"frozenset({'inception', 'official website', 'country', 'GRID ID'})"
126,0.5854374633000587,"frozenset({'instance of', 'located in the administrative territorial entity', 'country', 'GRID ID'})"
127,0.5776864357017029,"frozenset({'instance of', 'official website', 'country', 'GRID ID'})"
