,support,itemsets
0,1.0,frozenset({'instance of'})
1,0.968761009982384,frozenset({'country'})
2,0.8435701702877275,frozenset({'inception'})
3,0.7977686435701703,frozenset({'official website'})
4,0.6551967116852613,frozenset({'Freebase ID'})
5,0.6119788608338227,frozenset({'GRID ID'})
6,0.610569583088667,frozenset({'ROR ID'})
7,0.5344685848502643,frozenset({'ISNI'})
8,0.5025249559600705,frozenset({'Ringgold ID'})
9,0.8021139166177335,frozenset({'located in the administrative territorial entity'})
10,0.6425132119788608,frozenset({'coordinate location'})
11,0.968761009982384,"frozenset({'instance of', 'country'})"
12,0.8435701702877275,"frozenset({'instance of', 'inception'})"
13,0.8305343511450382,"frozenset({'inception', 'country'})"
14,0.8305343511450382,"frozenset({'instance of', 'inception', 'country'})"
15,0.7977686435701703,"frozenset({'instance of', 'official website'})"
16,0.7877862595419848,"frozenset({'official website', 'country'})"
17,0.7352906635349383,"frozenset({'inception', 'official website'})"
18,0.7013505578391075,"frozenset({'located in the administrative territorial entity', 'official website'})"
19,0.7877862595419848,"frozenset({'instance of', 'official website', 'country'})"
20,0.7352906635349383,"frozenset({'instance of', 'inception', 'official website'})"
21,0.7290663534938344,"frozenset({'inception', 'official website', 'country'})"
22,0.7290663534938344,"frozenset({'instance of', 'inception', 'official website', 'country'})"
23,0.7013505578391075,"frozenset({'instance of', 'located in the administrative territorial entity', 'official website'})"
24,0.7001761597181444,"frozenset({'located in the administrative territorial entity', 'official website', 'country'})"
25,0.6578978273634762,"frozenset({'located in the administrative territorial entity', 'inception', 'official website'})"
26,0.7001761597181444,"frozenset({'instance of', 'located in the administrative territorial entity', 'official website', 'country'})"
27,0.6578978273634762,"frozenset({'instance of', 'inception', 'located in the administrative territorial entity', 'official website'})"
28,0.6567234292425133,"frozenset({'located in the administrative territorial entity', 'inception', 'official website', 'country'})"
29,0.6567234292425133,"frozenset({'instance of', 'inception', 'located in the administrative territorial entity', 'official website', 'country'})"
30,0.6551967116852613,"frozenset({'instance of', 'Freebase ID'})"
31,0.6461538461538462,"frozenset({'Freebase ID', 'country'})"
32,0.6193775689958896,"frozenset({'inception', 'Freebase ID'})"
33,0.5816793893129771,"frozenset({'Freebase ID', 'official website'})"
34,0.5816793893129771,"frozenset({'located in the administrative territorial entity', 'Freebase ID'})"
35,0.6461538461538462,"frozenset({'instance of', 'Freebase ID', 'country'})"
36,0.6193775689958896,"frozenset({'instance of', 'inception', 'Freebase ID'})"
37,0.6137404580152672,"frozenset({'inception', 'Freebase ID', 'country'})"
38,0.6137404580152672,"frozenset({'instance of', 'inception', 'Freebase ID', 'country'})"
39,0.5816793893129771,"frozenset({'instance of', 'Freebase ID', 'official website'})"
40,0.5766294773928362,"frozenset({'Freebase ID', 'official website', 'country'})"
41,0.5624192601291838,"frozenset({'inception', 'Freebase ID', 'official website'})"
42,0.5296535525543159,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'official website'})"
43,0.5766294773928362,"frozenset({'instance of', 'Freebase ID', 'official website', 'country'})"
44,0.5624192601291838,"frozenset({'instance of', 'inception', 'Freebase ID', 'official website'})"
45,0.5586611861421021,"frozenset({'inception', 'Freebase ID', 'official website', 'country'})"
46,0.5586611861421021,"frozenset({'instance of', 'inception', 'Freebase ID', 'official website', 'country'})"
47,0.5296535525543159,"frozenset({'instance of', 'Freebase ID', 'official website', 'located in the administrative territorial entity'})"
48,0.5289489136817381,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'official website', 'country'})"
49,0.5159130945390488,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID', 'official website'})"
50,0.5289489136817381,"frozenset({'instance of', 'located in the administrative territorial entity', 'Freebase ID', 'official website', 'country'})"
51,0.5159130945390488,"frozenset({'instance of', 'inception', 'Freebase ID', 'located in the administrative territorial entity', 'official website'})"
52,0.5152084556664709,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID', 'official website', 'country'})"
53,0.5152084556664709,"frozenset({'instance of', 'inception', 'Freebase ID', 'located in the administrative territorial entity', 'official website', 'country'})"
54,0.5816793893129771,"frozenset({'instance of', 'Freebase ID', 'located in the administrative territorial entity'})"
55,0.5806224310041104,"frozenset({'located in the administrative territorial entity', 'Freebase ID', 'country'})"
56,0.5584263065179096,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID'})"
57,0.5806224310041104,"frozenset({'instance of', 'Freebase ID', 'located in the administrative territorial entity', 'country'})"
58,0.5584263065179096,"frozenset({'instance of', 'inception', 'Freebase ID', 'located in the administrative territorial entity'})"
59,0.5574867880211392,"frozenset({'located in the administrative territorial entity', 'inception', 'Freebase ID', 'country'})"
60,0.5574867880211392,"frozenset({'instance of', 'inception', 'Freebase ID', 'located in the administrative territorial entity', 'country'})"
61,0.6119788608338227,"frozenset({'instance of', 'GRID ID'})"
62,0.6116265413975338,"frozenset({'country', 'GRID ID'})"
63,0.5780387551379917,"frozenset({'official website', 'GRID ID'})"
64,0.5681738109219026,"frozenset({'inception', 'GRID ID'})"
65,0.585554903112155,"frozenset({'located in the administrative territorial entity', 'GRID ID'})"
66,0.6116265413975338,"frozenset({'instance of', 'country', 'GRID ID'})"
67,0.5780387551379917,"frozenset({'instance of', 'official website', 'GRID ID'})"
68,0.5776864357017029,"frozenset({'official website', 'country', 'GRID ID'})"
69,0.5529066353493834,"frozenset({'located in the administrative territorial entity', 'official website', 'GRID ID'})"
70,0.5776864357017029,"frozenset({'instance of', 'official website', 'country', 'GRID ID'})"
71,0.5529066353493834,"frozenset({'instance of', 'located in the administrative territorial entity', 'official website', 'GRID ID'})"
72,0.5527891955372871,"frozenset({'located in the administrative territorial entity', 'official website', 'country', 'GRID ID'})"
73,0.5527891955372871,"frozenset({'instance of', 'located in the administrative territorial entity', 'official website', 'GRID ID', 'country'})"
74,0.5681738109219026,"frozenset({'instance of', 'inception', 'GRID ID'})"
